Common name,Species,Full taxonomy,Description
indian flapshell turtle,lissemys punctata,Animalia_Chordata_Vertebrata_Reptilia_Testudines_Cryptodira_Trionychidae_Lissemys_Lissemys punctata,"The Indian flapshell turtle is a freshwater species of turtle found in South Asia. The ""flap-shelled"" name comes from the presence of femoral flaps located on the plastron. These flaps of skin cover the limbs when turtles retract into the shell. The carapace of the Indian flapshell turtle viewed from above is broadly oval in adults but more circular in young, widest just anterior to hind limbs. The nose is short and stout; the nasal septum has no lateral ridge and the edges of the jaws are smooth. The claws are large and heavy and the tail is very short in both sexes."
white-backed vulture,gyps africanus,Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Aegypiinae_Gyps_Gyps africanus,"The White-backed vulture, an Old World vulture, is the most common large vulture in Africa and is an accomplished scavenger that eats the carcasses of large animals. Hundreds of these vultures gather to feed on large dead animals. They gorge themselves so much they cannot fly, and then rest with wings spread and their backs facing the sun."
straw-coloured fruit bat,eidolon helvum,Animalia_Chordata_Vertebrata_Mammalia_Chiroptera_Pteropodidae_Eidolon_Eidolon helvum,"Straw-colored fruit bats are native African animals, called so due to the bright orange, yellow or brownish fur, surrounding their throat, stretching onto the back of the neck and covering the special glands, which produce a specific musky-smelling fluid. This substance is usually brighter in color and more noticeable in males. Additionally, male individuals are bigger and exhibit darker overall coloration. Young individuals, on the other hand, are distinguished by the absent of a collar around their neck as well as darker coat, compared to mature bats. Straw-colored fruit bat is the second largest bat species, found in Africa."
military macaw,ara militaris,Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Ara_Ara militaris,"Military macaws are so-called because they were first brought to Europe by military personnel. It is also suggested that the name comes from the color of their plumage, being ""army” or olive green. They may not be as impressive in looks as other macaws, but they are beautiful nonetheless. They are also social and fun loving, and many of the ones kept as pets become excellent talkers."
spotted eagle-owl,bubo africanus,Animalia_Chordata_Aves_Strigiformes_Strigidae_Bubo_Bubo africanus,Spotted eagle-owls are medium-sized birds that have a distinctive appearance with prominent ‘ear tufts’ on the tops of their heads which all eagle owls have. The facial disk is off white to pale ochre and their eyes are yellow. The upper body is dusky brown in color while the lower parts are off-white with brown bars.
mantled howler monkey,alouatta palliata,Animalia_Chordata_Vertebrata_Mammalia_Primates_Haplorhini_Simiiformes_Atelidae_Alouatta_Alouatta palliata,"The Mantled howler monkeys are native to Central and South America. The animals are so called due to exhibiting long, guard hairs on both of their sides. These primates belong to the group of New World monkeys. They have black colored, furless face with a beard as well as a prehensile tail with a naked pad, found on the underside, at its base. Mature individuals are distinguished by black and brown/blonde saddles. Infants, on the other hand, display silver to golden brown overall coloration, which gradually changes, finally turning to the adult pattern at one year old."
wood duck,aix sponsa,Animalia_Chordata_Aves_Anseriformes_Anatidae_Aix_Aix sponsa,"The Wood duck is among the most stunningly beautiful of all water birds. Males are iridescent green and chestnut, with ornate patterns on almost every feather, while the elegant female has a delicate white pattern around her eye and a distinctive profile. These birds inhabit wooded swamps, where their nests are in holes up in trees or in the nest boxes around lake margins. These are one of a few duck species that have strong claws to perch on branches and grip bark. In 1918 this species was near extinction as a result of habitat loss and hunting. Wildlife management has fortunately protected this species so that it is amongst the most common ducks today in the eastern US."
antelope jackrabbit,lepus alleni,Animalia_Chordata_Vertebrata_Mammalia_Lagomorpha_Leporidae_Lepus_Lepus alleni,"The Antelope jackrabbit is a North American hare named after the fast-running antelope. These animals are also known for being able to run and leap quickly. Like antelopes, these hares also show flashes, as they run, of their white underside. They are one of five species of jackrabbit that inhabit different regions of North America. They are one of the biggest hares in this region and are larger than rabbits. They make their nests above ground."
australian water dragon,intellagama lesueurii,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Iguania_Agamidae_Intellagama_Intellagama lesueurii,"The Australian water dragon is an arboreal lizard native to eastern Australia. They have long powerful limbs and claws for climbing, a long muscular laterally-compressed tail for swimming, and prominent nuchal and vertebral crests. Males show bolder coloration and have larger heads than females. There are two subspecies: the Eastern water dragon and Intellagama Gippsland water dragon. Eastern water dragons are usually white, yellow and red on the throat and possess a dark band behind their eye; Gippsland water dragons lack this and instead have dark bands on either side of their throat, which is blotched with yellow, orange, or blue. Both subspecies are light greenish-grey in overall color with black bands running across their back, tail, and legs. Water dragons can slowly change skin color to aid their camouflage and their skin will shed during periods of growth."
black kite,milvus migrans,Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Milvus_Milvus migrans,"Black kites are medium-sized birds of prey that are widely distributed over four continents. It is thought to be the world's most abundant species of raptor. These birds are generally dark in color. The upper plumage is brown but the head and neck tend to be paler. The patch behind the eye appears darker. The outer flight feathers are black and the feathers have dark cross bars and are mottled at the base. The lower parts of the body are pale brown, becoming lighter towards the chin. The body feathers have dark shafts giving it a streaked appearance. The cere and gape are yellow, but the bill is black. The legs are yellow and the claws are black. Males and females have the same plumage but females are longer than males."
marsh deer,blastocerus dichotomus,Animalia_Chordata_Vertebrata_Mammalia_Artiodactyla_Ruminantia_Cervidae_Capreolinae_Blastocerus_Blastocerus dichotomus,"The Marsh deer is the largest deer species in South America. They have very large ears lined with white hairs, red-gold to tawny brown fur, blackish eyes and long dark legs. Their coat turns darker during winter and there are also white marks on the hips and around the eyes. Marsh deer have large hooves with elastic interdigital membranes which are useful for swimming and walking on marshy surfaces. Only the males possess antlers which are ramified and can grow up to 60 cm (23 in)."
gambian pouched rat,cricetomys gambianus,Animalia_Chordata_Vertebrata_Mammalia_Rodentia_Nesomyidae_Cricetomys_Cricetomys gambianus,"Gambian pouched rats belong to the giant pouched rat genus and are among the largest muroids (a large superfamily of rodents, including mice, rats, voles, hamsters, gerbils) in the world. These rats have very poor eyesight and so depend on their senses of smell and hearing. Their name comes from the large, hamster-like pouches in their cheeks. Gambian pouched rats have brown fur and a dark ring around the eyes. They have long scaly tails and narrow heads with small eyes. Males and females in this species are usually the same size."
coypu,myocastor coypus,Animalia_Chordata_Vertebrata_Mammalia_Rodentia_Octodontoidea_Echimyidae_Echimyinae_Myocastorini_Myocastor_Myocastor coypus,"Coypu, otherwise known as Nutria or River rat, is a large, semi-aquatic rodent. In spite of being a separate species, the animal is sometimes mistaken for a beaver or otter. These rodents are 'a boon and a bane', in a sense that they are both beneficial and detrimental. Thus, endemic to South America, these animals were introduced to the British Isles in the late 1940s. Since then, they have been farmed, playing an important role in the fur industry due to the rich and soft under-layer of their fur. In the meantime, they have destroyed thousands of acres of marshlands. Nowadays, their coat continues to be used in fur industry, though this species is notorious as pest."
siberian ibex,capra sibirica,Animalia_Chordata_Vertebrata_Mammalia_Artiodactyla_Bovidae_Caprinae_Capra_Capra sibirica,"Siberian ibexes are large and heavily built goats. Their coats vary in color ranging from dark brown to light tan, with some reddish individuals. There is usually a stripe of darker hair down the center of the back and onto the tail, and some males have saddle-like patches on the back in the winter. The undersides are paler, and, in the winter, mature males becoming much darker with white patches. Females and infants are generally blander in color and do not always have the stripe down the back. Siberian ibexes typically molt between April and July, developing their paler summer coat, which continues to grow and become darker during the year, reaching the full winter condition around December. Both sexes have beards and horns. The female's horns are relatively small, and grey-brown in color. Those of fully-grown males are black. Both sexes have circular rings around their horns that represent annual growth, but males also have large transverse ridges along the front surface."
siberian roe deer,capreolus pygargus,Animalia_Chordata_Vertebrata_Mammalia_Artiodactyla_Ruminantia_Cervidae_Capreolinae_Capreolus_Capreolus pygargus,"The Siberian roe deer is a medium-sized deer well-adapted to severe weather extremes of northeastern Asia. It has a long neck, large ears, and large antlers. In winter the northern populations exhibit light gray coloring, but their southern counterparts are grayish brown and ochraceous. The belly is creamy and the caudal patch is white. In the summer, their coloring is reddish. Young have a spotted coat. Males are larger than females and have three-tined antlers, widely spaced and slanting upward, which are shed in the autumn or early winter and begin to regrow shortly thereafter."
blue iguana,cyclura lewisi,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Iguanidae_Cyclura_Cyclura lewisi,"The Blue iguana is an endangered species of lizard that is native to the island of Grand Cayman. This large lizard has articulated toes that are efficient in digging and climbing trees. The mature male's skin color ranges from dark grey to turquoise blue, whereas the female is more olive green to pale blue. Young animals tend to be uniformly dark brown or green with faint darker banding. Adults change their color to blue when they are in the presence of other iguanas to signal and establish territory. The blue color is more pronounced in males of the species. Males are also larger and have more prominent dorsal crests as well as larger femoral pores on their thighs, which are used to release pheromones."
tiger snake,notechis scutatus,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Serpentes_Elapidae_Notechis_Notechis scutatus,"The Tiger snake is a highly venomous snake species found in the southern regions of Australia. These snakes are highly variable in their color, often banded like those on a tiger. The patterning is darker bands, strongly contrasting or indistinct, which are pale to very dark in color. The coloration is composed of olive, yellow, orange-brown, or jet-black; the underside of these snakes is light yellow or orange."
impala,aepyceros melampus,Animalia_Chordata_Vertebrata_Mammalia_Artiodactyla_Bovidae_Aepycerotinae_Aepyceros_Aepyceros melampus,"Impala is an elegant and magnificent species of antelope. The animal has slender body with the identifying ""M""-like marking on the rear. This medium-sized antelope possesses thin, pointed horns with tips, lying far apart from each other. Males of this species are identified by the characteristic ""S""-like horns. The elegant limbs of these animals have scent glands behind the ankles. The overall coloration of their fur is red-brown with paler sides. In addition, they have black and white colored areas on their body. Thus, the tail, belly, chin, lips, inside ears as well as the lines above the eyes are colored with white. Meanwhile, black bands cover their thighs, tail, forehead and ear tips."
scarlet tanager,piranga olivacea,Animalia_Chordata_Aves_Passeriformes_Cardinalidae_Piranga_Piranga olivacea,"The Scarlet tanager is a medium-sized American songbird. Both the male and the female have pale, horn-colored, fairly stout, and smooth-textured bills. Adult males are crimson-red with black wings and tail. Females are yellowish on the underparts and olive on top, with yellow-olive-toned wings and tail. The adult male's winter plumage is similar to the female's, but the wings and tail remain darker."
western fence lizard,sceloporus occidentalis,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Iguania_Phrynosomatidae_Sceloporus_Sceloporus occidentalis,"The Western fence lizard is a quite common lizard found in the western United States and northwestern Mexico. It is brown to black in color (the brown may be sandy or greenish) and has black stripes on its back, but its most distinguishing characteristic is its bright blue belly. The ventral sides of the limbs are yellow. These lizards also have blue patches on their throats. This bright coloration is faint or absent in both females and juveniles. In some populations, the males also have iridescent, bright turquoise blue spots on the dorsal surface."
bobcat,lynx rufus,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Feliformia_Felidae_Lynx_Lynx rufus,"The bobcat is North America’s most common wildcat and is named because of its short, bobbed tail. It is a medium-sized cat, slightly smaller, though similar in appearance to the lynx, its cousin. Its coat color ranges from shades of brown or beige, with spots or lines of markings in black or dark brown. Males are usually larger than females, and size also varies significantly with their geographic location, with bobcats from the north typically being larger than the ones in the south."
brown-headed cowbird,molothrus ater,Animalia_Chordata_Aves_Passeriformes_Icteridae_Molothrus_Molothrus ater,"The Brown-headed cowbird is a sturdy blackbird with an unusual approach to parenthood. Females do not build nests but use all their energy for producing eggs, sometimes over three dozen per summer. They lay their eggs in other birds’ nests, who become their chicks’ foster parents, with usually at least some of their foster parents’ chicks being victims in the process. Heavy parasitism by this species has pushed some birds to being ""endangered"" and has affected other populations as well."
malayan tapir,tapirus indicus,Animalia_Chordata_Vertebrata_Mammalia_Perissodactyla_Tapiridae_Tapirus_Tapirus indicus,"Malayan tapir (otherwise known as Asian tapir) is the only living species of Old World tapir. There are only 4 tapir species around the globe, and this animal is the largest of them. Meanwhile, the Asian tapir is the most evolutionarily distinct tapir in the world. This mammal is very shy by nature, hiding from human disturbance in interior areas of its forest habitat. Hence, the animal is difficult to come across in the wild. Along with other tapir species, it exhibits an elongated, fleshy and prehensile nose, which is able to grasp objects such as leaves and ""handle"" them into the mouth. Malayan tapir has a highly-developed sense of smell. This animal is an odd-toed ungulate (the latter word literally means ""having hooves""), displaying three toes on each of its hind feet. The Malayan Tapir has distinctive black and white coloration."
feathertail glider,acrobates pygmaeus,Animalia_Chordata_Vertebrata_Mammalia_Marsupialia_Diprotodontia_Phalangerida_Acrobatidae_Acrobates_Acrobates pygmaeus,"The Feathertail glider is endemic only to Australia. As a matter of fact, this animal is the smallest gliding possum and one of the smallest known gliding mammals. The animal is so called due to its tail, which looks like a bird's feather, being composed of long, stiff hairs, pointing down on both sides. The short fur of the possum is brown-grey in color. The thick membranes between the elbows and knees help the animal when gliding, while the serrated pads on its toes allow the glider to easily stick to smooth surfaces."
mandrill,mandrillus sphinx,Animalia_Chordata_Vertebrata_Mammalia_Primates_Haplorhini_Simiiformes_Cercopithecidae_Mandrillus_Mandrillus sphinx,"The magnificent mandrill is the world's largest monkey with a characteristic blue or red face and a bright rump. Meanwhile, this primate is probably the most colorful mammal around the globe. When excited, its color pattern becomes even brighter. The long canines of this animal serve as a mean of self-defense. However, they may also display friendliness to conspecifics by exposing their teeth. Mandrills are endemic and native exclusively to rainforests of equatorial Africa."
vancouver island wolf,canis lupus crassodon,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Canidae_Canis_Canis lupus crassodon,"Vancouver Island wolves are one of the shyest and most elusive creatures native to Vancouver Island. These rare swimming wolves are rarely seen by humans and are considered an endangered species. They are similar in size and appearance to their relative, the Grey wolf. The fur is usually a mix of grey, brown, and black in color. Occasionally, Vancouver Island wolves are seen in a pure white coat."
musky rat-kangaroo,hypsiprymnodon moschatus,Animalia_Chordata_Vertebrata_Mammalia_Marsupialia_Diprotodontia_Macropodiformes_Hypsiprymnodontidae_Hypsiprymnodon_Hypsiprymnodon moschatus,"The smallest macropodids, this marsupial resembles a small kangaroo. The Musky rat-kangaroo moves around by slow ""bunny-hop"" movement. An important identifying feature of this animal is its hind feet, having 5 toes."
scarlet ibis,eudocimus ruber,Animalia_Chordata_Aves_Neornithes_Neognathae_Neoaves_Pelecaniformes_Threskiornithidae_Eudocimus_Eudocimus ruber,"Scarlet ibises are medium-sized wading birds with remarkably brilliant scarlet coloration. Their feathers may show various tints and shades, but only the tips of their wings deviate from their namesake color. A small but reliable marking, these wingtips are a rich inky black (or occasionally dark blue) and are found only on the longest primaries - otherwise, the birds' coloration is ""a vivid orange-red, almost luminous in quality."" Scarlet ibises have red bills and feet however the bill is sometimes blackish, especially toward the end. A juvenile Scarlet ibis is a mix of grey, brown, and white. As it grows, a heavy diet of red crustaceans produces scarlet coloration."
vicuna,vicugna vicugna,Animalia_Chordata_Vertebrata_Mammalia_Artiodactyla_Camelidae_Vicugna_Vicugna vicugna,"The Vicuña is the smallest member of the family of camelids and is regarded as the alpaca's wild ancestor. It looks endearing, with its large, forward-facing eyes and small, wedge-shaped head with sharply triangular ears. The color of the head varies from reddish-brown to yellow, and its neck is pale orange. Its chest is covered with a silky white mane, but the fur of the rest of its body is soft and of the same length. It has a pale brown back and its underside and the inner parts of its flanks are dirty white."
himalayan tahr,hemitragus jemlahicus,Animalia_Chordata_Vertebrata_Mammalia_Artiodactyla_Bovidae_Caprinae_Hemitragus_Hemitragus jemlahicus,"The Himalayan tahr is a large wild goat that lives on the mountain slopes and in the forests of the Himalayas. It has a small head, small pointed ears, large eyes, and horns that vary between males and females. The coloration of tahr is well adapted to the harsh climate of the Himalayans. They have thick, reddish wool coats and thick undercoats, indicative of the conditions of their habitat. Their coats thin with the end of winter and become lighter in color. This shedding is presumably an adaptation that allows their internal body temperatures to adjust to the harsh temperatures of the Himalayan Mountains."
red-tailed monkey,cercopithecus ascanius,Animalia_Chordata_Vertebrata_Mammalia_Primates_Haplorhini_Simiiformes_Cercopithecidae_Cercopithecinae_Cercopithecini_Cercopithecus_Cercopithecus ascanius,"Red-tailed monkeys are named for their red coloration of the tail's underside as well as the bi-coloration of the tail as the reddish color increases from the base to the tip. These monkeys have the white nose and cheeks in the midst of black or dark grey body fur. Red-tailed monkeys also have very large, elastic cheeks which are used in gathering food and storing it in their mouths for safety. Males in this species are larger than the females."
water chevrotain,hyemoschus aquaticus,Animalia_Chordata_Vertebrata_Mammalia_Artiodactyla_Tragulidae_Hyemoschus_Hyemoschus aquaticus,"The Water chevrotain is a small ungulate native to the tropical regions of Africa. It is the largest of the 10 species of chevrotains, which are similar to deer but are barely larger than small dogs. Water chevrotains have a rich, sleek, red-brown coat on top, and the underside of the coat is white. On the body is a pattern of white stripes that runs horizontally from the shoulder to the tail, with vertical rows of white stripes in the back. The chin, throat, and chest are covered in very coarse hair with a pattern of white V shapes. The legs look short and thin compared to the bulky body, and the hooves are similar to a pig's. The tail is short with a fluffy white underside that resembles a cotton ball. Unusually for most mammals, female Water chevrotains are larger than males."
indian roller,coracias benghalensis,Animalia_Chordata_Aves_Neornithes_Neognathae_Neoaves_Coraciiformes_Coraciidae_Coracias_Coracias benghalensis,"The Indian roller is a colorful bird best known for its aerobatic displays of males during the breeding season. It is often seen perched along roadside trees and wires and is commonly seen in open grassland and scrub forest habitats. The largest population occurs in India, and several states in India have chosen it as their state bird."
northern muriqui,brachyteles hypoxanthus,Animalia_Chordata_Vertebrata_Mammalia_Primates_Haplorhini_Simiiformes_Atelidae_Brachyteles_Brachyteles hypoxanthus,The Northern muriqui is an endangered muriqui (woolly spider monkey) species native to Brazil. Muriquis are the largest species of New World monkeys. These monkeys have a thick fur that is light brown to gold in color. They have a large and round belly. Their long prehensile tail and long arms are an important adaptation for arboreal travel and feeding.
desert kangaroo rat,dipodomys deserti,Animalia_Chordata_Vertebrata_Mammalia_Rodentia_Heteromyidae_Dipodomys_Dipodomys deserti,"The Desert kangaroo rats are adorable animals with noticeably large hind legs, helping them escape from predators. The Desert kangaroo rat resembles a tiny kangaroo, and is a size of a mouse. The species is so called due to hopping like a kangaroo. The unusual Desert kangaroo rat is among the animals with least water demand. This animal is able to live in extremely dry conditions, getting all required moisture from dry seeds it consumes. It has pouches on both sides of its mouth, where it stores food. The life expectancy of the Desert kangaroo rats in the wild in unknown, but those in captivity usually live 5.5 - 8 years."
lesser spot-nosed monkey,cercopithecus petaurista,Animalia_Chordata_Vertebrata_Mammalia_Primates_Haplorhini_Simiiformes_Cercopithecidae_Cercopithecinae_Cercopithecini_Cercopithecus_Cercopithecus petaurista,"Lesser spot-nosed monkeys are small arboreal primates with a long tail. Their face is black with a white nose spot. A white stripe extends from the temple to below the ear. The crown, back, outer side of the limbs and upper surface of the tail are olive-green or khaki. In some forms, the middle and lower back have a reddish tinge. The individual hairs, especially on the crown, are flecked with black and yellow. The underparts, inner side of the limbs and underside of the tail are white or cream."
florida scrub-jay,aphelocoma coerulescens,Animalia_Chordata_Aves_Passeriformes_Corvidae_Aphelocoma_Aphelocoma coerulescens,"The Florida scrub-jay is native to North America. It has a strong black bill, blue head, and nape without a crest, a whitish forehead, and supercilium (a stripe on the head), blue bib, blue wings, grayish underparts, gray back, long blue tail, black legs, and feet. The Florida scrub-jay is the only species of bird endemic to the U.S. state of Florida and because of this, it is heavily sought by birders who travel from across the country to observe this unique species."
common raven,corvus corax,Animalia_Chordata_Aves_Passeriformes_Corvidae_Corvus_Corvus corax,"The Common raven is the most widely distributed member of the crow family. Some notable feats of problem-solving provide evidence that this bird is unusually intelligent. Over the centuries, it has been the subject of mythology, folklore, art, and literature. In many cultures, including the indigenous cultures of Scandinavia, ancient Ireland, and Wales, Bhutan, the northwest coast of North America, and Siberia and northeast Asia, the Common raven has been revered as a spiritual figure or godlike creature."
sea otter,enhydra lutris,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Mustelidae_Lutrinae_Enhydra_Enhydra lutris,"Sea otters belong to the weasel family. All members of this family have very thick fur. They have two layers of fur, an undercoat, as well as longer guard hairs. This traps air next to their skin so that their skin stays dry. Sea otters usually are dark brown, frequently with lighter guard hairs. Their faces are circular and furry, with rounded eyes and ears, short noses, and long whiskers that help with foraging for food. The back legs are long, with broad, flat, webbed paws. The front legs are short, with retractable claws for eating and grooming."
cliff chipmunk,neotamias dorsalis,Animalia_Chordata_Vertebrata_Mammalia_Rodentia_Sciuridae_Neotamias_Neotamias dorsalis,"Cliff chipmunks are small, bushy-tailed squirrels. They are brown on their underside and gray on the back with white stripes on their face. Their tails are black on top and cinnamon brown underneath. Females in this species are larger than males."
red-eared slider,trachemys scripta elegans,Animalia_Chordata_Vertebrata_Reptilia_Testudines_Cryptodira_Emydidae_Trachemys_Trachemys scripta elegans,"The Red-eared slider is a semiaquatic turtle belonging to the family Emydidae. It is a subspecies of the Pond slider. It is the most popular pet turtle in the United States and is also popular as a pet in the rest of the world. It has, therefore, become the most commonly traded turtle in the world. Red-eared sliders get their name from the small red stripe around their ears and from their ability to slide quickly off rocks and logs into the water. Their shell is divided into two sections: the upper or dorsal carapace, and the lower, ventral carapace or plastron. The color of the carapace changes depending on the age of the turtle. The carapace usually has a dark green background with light and dark, highly variable markings. In young or recently hatched turtles, it is leaf green and gets slightly darker as a turtle gets older, until it is a very dark green, and then turns a shade between brown and olive green. The plastron is always a light yellow with dark, paired, irregular markings in the center of most scutes. The head, legs, and tail are green with fine, irregular, yellow lines. The females of the species are usually larger than the males."
greylag goose,anser anser,Animalia_Chordata_Aves_Anseriformes_Anatidae_Anser_Anser anser,"The Greylag goose is a large waterfowl of the Old World and is the ancestor of the domestic goose, having been domesticated at least as early as 1360 BC. It has mottled and barred grey and white plumage and an orange beak and pink legs. Its distribution is widespread, with birds from the north of its range in Europe and Asia migrating southwards to spend the winter in warmer places."
darwin's fox,lycalopex fulvipes,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Canidae_Lycalopex_Lycalopex fulvipes,"Darwin's fox is a small endangered canid that lives in Chile and on Chiloé Island. It has dark gray fur with reddish areas on the head and muzzle. Darwin's fox was first collected from San Pedro Island off the coast of Chile by the naturalist Charles Darwin in 1834. It was long held to be a subspecies of the South American gray fox; however, the discovery of a small population of Darwin's fox on the mainland in Nahuelbuta National Park in 1990 and subsequent genetic analysis has clarified the fox's status as a unique species."
oribi,ourebia ourebi,Animalia_Chordata_Vertebrata_Mammalia_Artiodactyla_Bovidae_Ourebia_Ourebia ourebi,"Oribis are small delicate antelopes found in Africa. They have a slightly raised back, and long neck and limbs. The glossy, yellowish to rufous brown coat contrasts with the white chin, throat, underparts and rump. The bushy tail is brown to black on the outside with white insides. Only males have horns that are thin, straight and smooth at the tips and ringed at the base."
ruffed grouse,bonasa umbellus,Animalia_Chordata_Aves_Galliformes_Phasianidae_Bonasa_Bonasa umbellus,"Ruffed grouse are widespread medium-sized birds of North America. They have two distinct morphs: grey and brown. In the grey morph, the head, neck, and back are grey-brown; the breast is light with barring. There is much white on the underside and flanks, and overall the birds have a variegated appearance; the throat is often distinctly lighter. The tail is essentially the same brownish grey, with regular barring and a broad black band near the end (""subterminal""). Brown-morph birds have tails of the same color and pattern, but the rest of the plumage is much more brown, giving the appearance of a more uniform bird with less light plumage below and a conspicuously grey tail. Both males and females have the ruffs on the sides of the neck. They also have a crest on top of their head, which sometimes lies flat."
slowworm,anguis fragilis,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Anguidae_Anguis_Anguis fragilis,"The Slowworm is a legless lizard native to Eurasia. The skin of Slowworms is golden-grey in color; it is smooth with scales that do not overlap one another. Females often have a stripe along the spine and dark sides, while males may have blue spots dorsally. Juveniles of both sexes are gold in color with dark brown bellies and sides with a dark stripe along the spine. Although these lizards are often mistaken for snakes, a number of features differentiate them. The most important one is that they have small eyes with eyelids that, like other lizards, blink. Unlike snakes, they may also have visible ears. They shed their skin in patches, whereas most snakes shed their skins whole. Slowworms may also shed their tails (autotomy) as a defense mechanism, by breaking one of their tail vertebrae in half."
rusa deer,rusa timorensis,Animalia_Chordata_Vertebrata_Mammalia_Artiodactyla_Ruminantia_Cervidae_Cervinae_Rusa_Rusa timorensis,"Rusa deer are distinguished by their large ears, the light tufts of hair above the eyebrows, and antlers that appear large relative to the body size. Their coat is grayish-brown and often appears coarse. Unlike most other deer species, newborn fawns do not bear spots. The antlers of these deer are lyre-shaped and three-tined. Male Rusa deer are bigger than females."
snow bunting,plectrophenax nivalis,Animalia_Chordata_Aves_Passeriformes_Calcariidae_Plectrophenax_Plectrophenax nivalis,"The Snow bunting is appropriately named, being a bird of the Arctic and snowy winter fields. The mostly white feathers of a flock of buntings brings to mind the idea of a snowstorm even on a day that is warm. They are sometimes called ""snowflakes,"" and flocks of them seem like snowflakes, swirling through the air and settling on winter fields. Snow buntings south of the Arctic are strictly winter birds, which arrive in late fall, usually departing at the start of spring. They spend summer in the barren northern tundra. In certain high Arctic communities they nest in birdhouses that people put out for them."
pygmy rattlesnake,sistrurus miliarius,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Serpentes_Viperidae_Sistrurus_Sistrurus miliarius,"The Pygmy rattlesnake is a small venomous snake native to the United States. The dorsal pattern of these snakes consists of a series of oval or subcircular spots with reasonably regular edges. The spots on the flanks are mostly round. Their belly is usually gray or dusky cream in color. Juveniles have a color pattern that is similar to the adults, although it may be paler or more vividly marked, and the tip of their tail is yellow."
little egret,egretta garzetta,Animalia_Chordata_Aves_Neornithes_Neognathae_Neoaves_Pelecaniformes_Ardeidae_Egretta_Egretta garzetta,"The Little egret is a small and elegant member of the heron family. Its plumage is normally entirely white, although there are dark forms with largely bluish-grey plumage. During the winter the plumage is similar but the scapulars are shorter and more normal in appearance. The bill is long and slender and the lores (the region between the eyes and nostrils) are black. There is an area of greenish-grey bare skin at the base of the lower mandible and around the eye which has a yellow iris. The legs are black and the feet yellow. Juveniles are similar to non-breeding adults but have greenish-black legs and duller yellow feet, and may have a certain proportion of greyish or brownish feathers."
prehesile-tailed porcupine,coendou prehensilis,Animalia_Chordata_Vertebrata_Mammalia_Rodentia_Erethizontidae_Erethizontinae_Coendou_Coendou prehensilis,"Prehensile-tailed porcupines or Brazilian porcupines are large and have a long, strong prehensile tail. They are well adapted to live in trees. Their skin color ranges from brownish-black to yellow-orange rust and their backs are covered with long quills. The yellow-orange color results from a pungent waxy substance secreted from their sebaceous glands. The tricolored semi-hollow quills have white tips ending in a barbed end. Their prehensile tails do not have spines and are used for stabilization as well as clinging while climbing and hanging. These animals have small ears, wide nasal openings, long whiskers and procumbent upper incisors. Their eyes are surrounded by a thin strip of bare skin within their coat of spines that goes all the way to their nose."
spotted hyena,crocuta crocuta,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Feliformia_Hyaenidae_Crocuta_Crocuta crocuta,"A highly misunderstood animal, the Spotted hyena has the reputation of being cowardly and sly, but it is actually a fascinating and intelligent creature with a very interesting social system. It looks like a dog, but is a closer relation of cats, civets, and genets. It is also called the laughing hyena. It is a strong and capable hunter and the largest member in the hyena family. Females and males look exactly the same except that females are a little larger."
komodo dragon,varanus komodoensis,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Varanidae_Varanus_Varanus komodoensis,"The Komodo dragon is the largest and heaviest lizard in the world. These lizards have a venomous bite and their group behavior in hunting is exceptional in the reptile world. Komodo dragons have a tail as long as their body and a long, yellow, deeply forked tongue. Their skin is usually gray in color reinforced by armored scales, which contain tiny bones called osteoderms that function as a sort of natural chain-mail. This rugged hide makes Komodo dragon skin a poor source of leather. Additionally, these osteoderms become more extensive and variable in shape as the Komodo dragon ages, ossifying more extensively as the lizard grows. These osteoderms are absent in hatchlings and juveniles, indicating that the natural armor develops as a product of age and competition between adults for protection in combats over food and mates."
rosy boa,charina trivirgata,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Serpentes_Boidae_Charina_Charina trivirgata,"The Rosy boa is a small nonvenomous snake native to the United States. A large adult has a body width about the diameter of a golf ball. These snakes are highly variable in color. Their common name is derived from the rosy or salmon coloration that is common on the belly of Rosy boas originating from coastal southern California and Baja Mexico. Most Rosy boas do not have this ventral coloration, but instead, have a series of dark to orange spots on a light-colored background. Almost all Rosy boas have at least some trace of three longitudinal stripes, one down the center of the back, and two on the lower sides. Stripe colors can be orange, maroon, rust, brown, or black. Interspace colors can be shades of light to dark gray, yellow, or tan."
