Common name,Species,Full taxonomy,Description
white-necked stork,ciconia episcopus,Animalia_Chordata_Aves_Ciconiiformes_Ciconiidae_Ciconia_Ciconia episcopus,"The White-necked stork has glossy black plumage and green, blue and purple iridescence and is an elegant bird. Its wings and tail are also black. Its woolly belly, neck, and under tail coverts are white color, as are the lower back and rump. Its forked black tail is hidden by its long white under tail coverts and looks white if seen from below. Males and females are similar. The young are duller and browner, lacking the iridescences. Its black forehead reaches further back on the crown. The beak is pale grayish and the eyes are dark. Its feet and legs are duller."
checkered garter snake,thamnophis marcianus,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Serpentes_Colubridae_Thamnophis_Thamnophis marcianus,"The Checkered garter snake is a small generally harmless snake found in the Americas. It is typically greenish in color, with a distinct, black checkerboard pattern down its back. There is a large cream-colored crescent mark on each side of the head and the belly is yellowish."
blue grosbeak,passerina caerulea,Animalia_Chordata_Aves_Passeriformes_Cardinalidae_Passerina_Passerina caerulea,"Blue grosbeaks are medium-sized colorful songbirds found in North and Central America. Males are almost entirely deep blue in color while females are mostly brown. Both sexes are distinguished by their large, deep bill and double wing bars."
snowy plover,charadrius nivosus,Animalia_Chordata_Aves_Charadriiformes_Charadriidae_Charadrius_Charadrius nivosus,"Snowy plovers are small pale shorebirds that run along white beaches or on the beds of salt lakes. They have a short black beak, snowy white bellies, and grey legs. During the breeding season, males have black ear patches, black crown, and a black neck collar; in females, these are dark in color rather than black."
common loon,gavia immer,Animalia_Chordata_Aves_Gaviiformes_Gaviidae_Gavia_Gavia immer,"The Common loon is a large aquatic bird that spends most of its life in water and comes out on land only to nest. Breeding adults have a broad black head and neck with a greenish, purplish, or bluish sheen, blackish or blackish-grey upperparts, and pure white underparts. Non-breeding adults are brownish with a dark neck and head marked with dark grey-brown. Their upperparts are dark brownish-grey with an unclear pattern of squares on the shoulders, and the underparts, lower face, chin, and throat are whitish. Males and females look alike, however, males are larger and significantly heavier."
hooded merganser,lophodytes cucullatus,Animalia_Chordata_Aves_Anseriformes_Anatidae_Lophodytes_Lophodytes cucullatus,"The Hooded merganser is a small diving duck striking in appearance; both sexes have crests that they can raise or lower, and the breeding plumage of the male is handsomely patterned and colored. In breeding plumage the dorsal areas and the head, neck, and breast of the mature male are mainly black with white markings; there are large white patches on either side of the crest, and they are particularly conspicuous when he raises his crest during courtship. His lower flanks are a rich reddish-brown or chestnut in color, and the breast and undersides are more or less white, extending into white stripes across the crop and breast. The adult female has a greyish-brown body, with a narrow white patch over the lower breast and belly. She has a light reddish-brown crest extending from the back of the head. During the nonbreeding season, the male looks similar to the female, except that his eyes are yellow and the female's eyes are brown."
island fox,urocyon littoralis,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Canidae_Urocyon_Urocyon littoralis,"The Island fox is a small fox that is native to six of the eight Channel Islands of California. There are six subspecies, each unique to the island it lives on, reflecting its evolutionary history. Island foxes are generally docile, show little fear of humans, and are easily tamed. They have gray fur on their head, a ruddy red coloring on their sides, white fur on their belly, throat and the lower half of their face. There is also a black stripe on the dorsal surface of their tail. Males in this species are always larger than the females."
little owl,athene noctua,Animalia_Chordata_Aves_Strigiformes_Strigidae_Athene_Athene noctua,"The Little owl is a small bird of open country that inhabits much of the temperate and warmer parts of Europe, Asia, and North Africa. Its head is flat-topped, the body is plump and compact, and the tail is short. The plumage is greyish-brown, spotted, streaked, and barred with white. The underparts are pale and streaked with a darker color. It has long legs, and yellow eyes, and its white “eyebrows” give the bird a stern expression."
pelagic cormorant,phalacrocorax pelagicus,Animalia_Chordata_Aves_Neornithes_Neognathae_Neoaves_Suliformes_Phalacrocoracidae_Phalacrocorax_Phalacrocorax pelagicus,"The Pelagic cormorant of the Pacific Coast is a cormorant that is small and slender, and exclusively marine in habits, but preferring inshore areas. It is black, and its body has a glossy iridescent green with violet-bronze, and violet-purple on its neck. The breeding plumage includes white patches on the flank, red skin at the base of the bill, two head crests, and long white feathers on the neck and upper-back. This species may be solitary when feeding but gregarious during other times, when groups perch together on rocks near the water, holding their wings out to dry. Often they are shyer than other cormorants and harder to approach."
least tern,sternula antillarum,Animalia_Chordata_Aves_Charadriiformes_Laridae_Sternula_Sternula antillarum,"The Least tern, as its name suggests, is the smallest of the Americas’ terns. Groups of them often hover near the surface of the water with their quick, flickering wing beats, catching small fish and invertebrates. They also plunge-dive, as do other terns, hovering above their prey and then suddenly dropping into the sea. Populations of this bird are endangered in many regions due to human impact on nesting areas, particularly competition for the use of beaches. That said, in the east in some areas near the coast these terns are now successfully nesting on gravel roofs."
eastern rat snake,pantherophis alleghaniensis,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Serpentes_Colubridae_Pantherophis_Pantherophis alleghaniensis,"The Eastern rat snake is a nonvenomous snake native to North America. Adults are shiny black dorsally, with a cream or white chin and throat. Their belly has an irregular black and white checkerboard pattern, becoming uniformly slate gray towards the tail. Juveniles have dark dorsal blotches on a grayish ground color. The ventral pattern in juveniles is the same as in adults. The eyes are round with a black pupil, and particularly in juveniles but not always present in adults, a distinct white margin. Males and females have the same coloration."
black-backed jackal,canis mesomelas,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Canidae_Canis_Canis mesomelas,"The Black-backed jackal is a canid species with long and thin body. Females are a bit smaller and lighter in weight. The head of jackal is dog-like with pointed ears and muzzle. On its back, the jackal has a long dark saddle, stretching from the nape of its neck to the base of its tail. The saddle narrows from shoulders to the base of the tail. These jackals have bushy tails, which are black in color. Their limbs and flanks are reddish. The under parts, lips and chest are white (though, sometimes the under parts are rusty color). The head, ears, back and basal third of the tail are deep russet-red in color with darker top of the muzzle and thighs."
water moccasin,agkistrodon piscivorus,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Serpentes_Viperidae_Agkistrodon_Agkistrodon piscivorus,"The Water moccasin is a venomous snake, a species of pit viper native to the southeastern United States. As an adult, it is large and capable of delivering a painful and potentially fatal bite. Water moccasins are almost or even totally black, (with the exception of the head and facial markings), the color pattern may consist of a brown, gray, tan, yellowish-olive, or blackish ground color, which is overlaid with a series of 10-17 dark brown to almost black crossbands. The underside of the head is generally whitish, cream, or tan."
south american coati,nasua nasua,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Procyonidae_Nasua_Nasua nasua,"The South American coati is a member of the raccoon family that lives in South America. Their coat varies in color and can be grey, brown, red and whitish. The snout is elongated and dark. The tail is black to brown in color and has yellow rings which in some individuals may be only slightly visible."
california quail,callipepla californica,Animalia_Chordata_Aves_Galliformes_Odontophoridae_Callipepla_Callipepla californica,"California quail are small attractive ground-dwelling birds. They have a curving crest or plume, made of six feathers, that droops forward: black in males and brown in females; the flanks are brown with white streaks. Males have a dark brown cap and a black face with a brown back, a grey-blue chest, and a light brown belly. Females and immature birds are mainly grey-brown with a light-colored belly."
texas coral snake,micrurus tener,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Serpentes_Elapidae_Micrurus_Micrurus tener,"The Texas coral snake is a colorful venomous snake native to the United States and Mexico. It has the traditional coloration associated with coral snakes: black, yellow, and red rings. It has smooth dorsal scales, a rounded head, and the eyes have round pupils. Males of this species are typically smaller than females."
black vulture,coragyps atratus,Animalia_Chordata_Aves_Accipitriformes_Cathartidae_Coragyps_Coragyps atratus,"Black vultures are amongst the most abundant vultures of the New World, and out of all the members in the Cathartidae family, have the most varied diet. These birds have featherless black to dark gray heads and necks. When perched they appear black overall, however near the wingtips are conspicuous white patches that are clearly visible when they are flying. These are highly social birds that demonstrate fierce family loyalty. They will share food with their relatives, feeding their young for months after fledging. Their lifespan is 10 years on average, and the longest banded individual has lived up to 25.6 years."
sulphur-crested cockatoo,cacatua galerita,Animalia_Chordata_Aves_Psittaciformes_Cacatuidae_Cacatua_Cacatua galerita,"The Sulfur-crested cockatoo is large and white parrot with a distinctive yellow crest on top of their head which they can raise or leave folded down. Their beak is dark grey-black. The underside of the wings and tail is a paler yellow. Females and males look the same but females have red tinted brown eyes, while the eyes of males are darker brown."
hispid cotton rat,sigmodon hispidus,Animalia_Chordata_Vertebrata_Mammalia_Rodentia_Cricetidae_Sigmodon_Sigmodon hispidus,"The Hispid cotton rat is common and widespread across southern, central and eastern parts of the United States. Currently, the population and range of this species continuously enlarge. This rodent has a sturdy built and extremely small cheek pouches. The grizzled coat of the animal is blackish or grayish in color, covered in stiff black guard hairs. The Hispid cotton rat is identified by its high “Roman” nose and a javelina-like color pattern, due to which the rodent is occasionally called the “javelina rat”."
red-browed finch,neochmia temporalis,Animalia_Chordata_Aves_Passeriformes_Estrildidae_Neochmia_Neochmia temporalis,"Red-browed finches are native to Australia. These beautiful birds can be easily recognized by the bright red stripe above the eye, and bright red rump. The rest of their body is grey, with olive wing coverts and collar. Juveniles do not have red brow marks and lack olive coloration on the collar and wing coverts."
long-billed curlew,numenius americanus,Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Numenius_Numenius americanus,"This sandpiper with an incredibly long bill is the largest shorebird of the United States; but usually, it is seen some distance from the shore. This bird has to cope with its 8-inch down-curved bill when feeding, drinking, preening, scratching, and flying. It fascinating to watch the curlew as it walks quickly along feeding, showing amazing dexterity while it manipulates its long bill. Unfortunately, this species is threatened with extinction because of the loss of prairie breeding habitats."
queen snake,regina septemvittata,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Serpentes_Colubridae_Regina_Regina septemvittata,"The Queen snake is a nonvenomous semiaquatic snake native to North America. It is olive to gray or dark brown in overall coloration, with peach or yellow stripes that run down its length at the first scale row. There are also four prominent ventral stripes of a darker color, and as no other similar species has stripes running down the length of its belly, this is an important feature in identifying this snake. In the young and juvenile snakes, there are three extra stripes: one stripe that runs along the vertebral dorsal scales, and two stripes (one on each side) that run down the length of the body at scale rows five and six. These extra stripes tend to fade as the snake matures, but when young the snake will have a total of seven stripes, three on the back and four on the belly; this has led to its taxonomical reference name, Regina (queen) septemvittata (seven-striped). The belly of the snake is a cream to yellow color. The females in this species are generally slightly larger than the males."
cape barren goose,cereopsis novaehollandiae,Animalia_Chordata_Aves_Anseriformes_Anatidae_Anserinae_Cereopsis_Cereopsis novaehollandiae,"The Cape Barren goose is a large bird with small head and a short beak. The beak is obscured by a lime-yellow cere, surrounding the large nares of the bird. The Cape Barren goose is grey with black beak. The tail with both of its sets is black. The upper-parts and the under-parts are grey with pale coloring of brown. The forehead and crown are lighter in color, which is more visible in adult geese, while the iris is honey colored. Feathers on its breast and back have paler margins, which give the goose scaly appearance. Their legs are deep pink and feet are black, due to which the bird looks like it has been walking in mud. Feathers on the upper side of each wing have dark grey markings at the tips, which take shape of three small markings, when the bird closes its wings. Young are covered with black and white markings, having black facial mask."
sand lizard,lacerta agilis,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Lacertidae_Lacerta_Lacerta agilis,"Sand lizards are small colorful lizards found in Europe and in parts of Asia. Their coloration varies across their European and Russian range. In northwest Europe, both the males and the females have lateral and dorsal strips of ocellated (eye-shaped) markings, dark patches with pale centers. Males have finer markings than females, and their flanks turn bright green during the spring mating season, fading again in the late summer."
pronghorn,antilocapra americana,Animalia_Chordata_Vertebrata_Mammalia_Artiodactyla_Antilocapridae_Antilocaprinae_Antilocaprini_Antilocapra americana,"The pronghorn is unique amongst mammals. It does not belong to the antelope or the goat family and neither is it related to African antelopes. Its color is tan to reddish brown. Its cheeks, belly, chest, rump and the insides of its legs are white. Males have a wide black mask running from their eyes to their nose, black parches on their neck and pronged black horns. The horns of the male are shaped like a lyre, curving in towards each other. Females don’t have the black markings, and the horns are generally straight short spikes. The pronghorn possesses horns, not antlers and is the only animal with branched horns and the only animal that each year sheds its horns. The outer sheath falls off in the autumn and grows back every summer."
dusky leaf monkey,trachypithecus obscurus,Animalia_Chordata_Vertebrata_Mammalia_Primates_Haplorhini_Simiiformes_Cercopithecidae_Trachypithecus_Trachypithecus obscurus,"The Dusky leaf monkey is a lovely little primate with a unique appearance. The overall coloration of its fur is dark gray, though brownish fur may occur in certain subspecies. The animal exhibits large, white colored patches, surrounding its eyes and looking like sporting eyeglasses. Additionally, the monkey has a white colored circle around its mouth. This color pattern is supplemented by a light head crown and a creamy white stomach patch. The Dusky leaf monkeys are known to live up to 25 years in captivity. There is no information on the life expectancy of this species in the wild, although it's believed to be less than that of captive individuals."
great tit,parus major,Animalia_Chordata_Aves_Passeriformes_Paridae_Parus_Parus major,"The Great tit is a widespread and common songbird throughout Europe, the Middle East, Central Asia, and east across the Palearctic to the Amur River, south to parts of North Africa. It is a distinctive bird with a black head and neck, prominent white cheeks, olive upperparts, and yellow underparts, with some variation amongst the numerous subspecies. The Great tit has adapted well to human changes in the environment and is a common and familiar bird in urban parks and gardens. It is also an important study species in ornithology."
ring-necked snake,diadophis punctatus,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Serpentes_Colubridae_Diadophis_Diadophis punctatus,"The Ring-necked snake is a harmless snake found in North America. These are very secretive snakes and are rarely seen during the day time. They are slightly venomous, but their nonaggressive nature and small, rear-facing fangs pose little threat to humans who wish to handle them. They are best known for their unique defense posture of curling up their tails, exposing their bright red-orange posterior, ventral surface when threatened. The dorsal coloration of these snakes is solid olive, brown, bluish-gray to smoky black, broken only by a distinct yellow, red, or yellow-orange neck band. Some populations do not have the distinctive neck band and additionally, individuals may have reduced or partially colored neck bands that are hard to distinguish; coloration may also be more of a cream color rather than bright orange or red. Head coloration tends to be slightly darker than the rest of the body, with tendencies to be blacker than grey or olive. Ventrally, the snakes exhibit a yellow-orange to red coloration broken by crescent-shaped black spots along the margins. Some individuals lack the distinct ventral coloration but typically retain the black spotting."
pied crow,corvus albus,Animalia_Chordata_Aves_Passeriformes_Corvidae_Corvus_Corvus albus,"Pied crows inhabit most regions in Africa, certainly thriving in South Africa. Extremely intelligent and opportunistic, they share the jackdaw’s love of shiny things. They also have a special flying ability, with broad wings that enable great powers of flight. They are curious, they are great mimics, and they use tools."
european mole,talpa europaea,Animalia_Chordata_Vertebrata_Mammalia_Eulipotyphla_Talpidae_Talpa_Talpa europaea,"European moles are small fossorial mammals that live across most of Europe. Their fur is usually dark grey but can vary depending on location. These moles have small eyes that are hidden behind fur, and their ears are just small ridges in the skin. European moles are well-adapted for their life underground. Their forelegs are short but sturdy equipped with wide claws. Moles use them for digging their tunnels as they help to pull the animal along. Their hind legs are much smaller. Females in this species are typically smaller than males."
ermine,mustela erminea,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Mustelidae_Mustelinae_Mustela_Mustela erminea,"Ermine is the common name given to this small northern weasel with a short, black-tipped tail, long body and short legs. Its fur is dark brown in summer but white in snowy, winter conditions. The white fur is called ""ermine,"" and even where the animal called a ""stoat,"" when it has its winter coat it may be known as ermine, or being ""in ermine."" Commercially, this animal has been of importance for the fur trade, particularly its valuable winter coat of white. This highly prized fur has been used to adorn royal robes in Europe and in art was used as a symbol of virginity or purity."
great horned owl,bubo virginianus,Animalia_Chordata_Aves_Strigiformes_Strigidae_Bubo_Bubo virginianus,"The Great horned owl is a round-faced bird with the distinctive horn-shaped feather tuft on the crown of its head, which is darker than the rest of its head, promoting the overall camouflage. The owl possesses powerful, solid legs, feet and claws. The Great horned owl has binocular vision due to its eyes, facing forward. The eyes of the horned owl are various shades of yellow. This bird can also be distinguished by the white colored patch on its throat. Black and brown stripes extend all over the white underbelly. The bill of the bird is black, surrounded by white or tan colored plumage. Plumage on their back is darker, covered with brown and black markings."
brown snake,storeria dekayi,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Serpentes_Colubridae_Storeria_Storeria dekayi,"The Brown snake is a small nonvenomous snake native to North and Central America. Dorsally, these snakes are brown to gray in color with a lighter center stripe bordered by small black spots; ventrally, they are light brown or pink with small black dots at the ends of the ventral scales."
massasauga,sistrurus catenatus,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Serpentes_Viperidae_Sistrurus_Sistrurus catenatus,"The Massasauga is a venomous rattlesnake species found in midwestern North America. Like all rattlesnakes, it belongs to the pit viper family. Massasaugas are grey or tan in color with a row of large rounded brown/black blotches or spots down the center of the back and three smaller rows of alternating spots down each side. Solid black melanistic examples are also known, as well as cases where the back blotches join with those on the sides. Young massasaugas are well-patterned but paler than the adults. These snakes have heat-sensing pits on each side of their smallish head and their scales are keeled."
american flamingo,phoenicopterus ruber,Animalia_Chordata_Aves_Phoenicopteriformes_Phoenicopteridae_Phoenicopterus_Phoenicopterus ruber,"The American flamingo is a large species of flamingo closely related to the greater flamingo and Chilean flamingo. Along with the greater flamingo, it has the longest legs relative to its body size of all birds. The bill bends characteristically downward, and at the base it is pale yellow, in the middle it is pink to orange, and the tip is black. Their plumage is deep pink/red/orange and they are the brightest in plumage of all flamingo species. The young birds are gray in color, their feathers slowly turning pink as they mature."
carolina wren,thryothorus ludovicianus,Animalia_Chordata_Aves_Passeriformes_Troglodytidae_Thryothorus_Thryothorus ludovicianus,The Carolina wren is a large species of wren that is found in North America. There are seven recognized subspecies across the range of these wrens and they differ slightly in song and appearance. The males in this species are usually larger than their mates.
chilean flamingo,phoenicopterus chilensis,Animalia_Chordata_Aves_Phoenicopteriformes_Phoenicopteridae_Phoenicopterus_Phoenicopterus chilensis,"The Chilean flamingos unique color of pink puts it amongst the most recognizable creatures in the world. Their large bill curves downwards, more than half of it being black in color. Their wings are narrow, and their flight feathers, both primary and secondary, are black, while their wing coverts are red. Another notable characteristic of the Chilean flamingo is the pink cap over its ankle joints. These joints are designed to assist the bird when it dips its head beneath the surface of the water to scoop up its food."
anna's hummingbird,calypte anna,Animalia_Chordata_Aves_Apodiformes_Trochilidae_Calypte_Calypte anna,"Anna's hummingbirds are small colorful birds native to the west coast of North America. They have an iridescent bronze-green back, a pale grey chest and belly, and green flanks. Their bill is long, straight, and slender. The adult male has an iridescent crimson-red derived from magenta to a reddish-pink crown and gorget, which can look dull brown or gray without direct sunlight and a dark, slightly forked tail. Females also have iridescent red gorgets, though they are usually smaller and less brilliant than the males'. Anna's is the only North American hummingbird species with a red crown. Females and juvenile males have a dull green crown, a grey throat with or without some red iridescence, a grey chest and belly, and a dark, rounded tail with white tips on the outer feathers."
common house gecko,hemidactylus frenatus,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Gekkonidae_Hemidactylus_Hemidactylus frenatus,The Common house gecko is a small lizard native of Southeast Asia. They are named so because they are often seen climbing walls of houses and other buildings in search of insects attracted to porch lights and are immediately recognizable by their characteristic chirp. These small geckos are non-venomous and not harmful to humans. Their body is covered with small granules and varies in color from pale yellow to grayish-white.
smooth green snake,opheodrys vernalis,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Serpentes_Colubridae_Opheodrys_Opheodrys vernalis,"The Smooth green snake is a ""small medium"" North American nonvenomous snake. It gets its common name from its smooth dorsal scales. It is uniform light green on its back, with a yellow or white belly. At birth, its dorsal coloration is different than when it matures. At first, it can be olive green, blue-gray, or even brown, but after it sheds its skin for the first time, it becomes the characteristic bright green. The dorsal coloration can also vary depending on location: bluish in Kansas, olive-tinted light brown in southeastern Texas, and bronze in northern Wisconsin. A non-aggressive snake, it seldom bites and usually flees when threatened."
cheetah,acinonyx jubatus,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Feliformia_Felidae_Acinonyx_Acinonyx jubatus,"The cheetah is a large cat with dotted coat. This animal is identified by black marks (so-called ""tear marks""), running down from the inner eye along the nose to the outside of the mouth. This feline is an extremely agile animal, having powerful hind legs and very flexible, muscular spine. The body is long and slender, covered with coarse yellowish fur with small black markings. The tail is spotted with ringed markings, having black tip on its end. In addition, the tail is quite long, helping the cheetah to keep balance and change direction. The head is small and the eyes are set high, which help them find potential prey in the grasslands. Claws of cheetah are non-retractable; they dig their claws into the ground, which enhances their grip at high speed."
gray seal,halichoerus grypus,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Pinnipedia_Phocidae_Halichoerus_Halichoerus grypus,"The gray seal is amongst the rarest of seals in the world. It has a rotund torso which tapers to a more slender hind end, and a layer of thick blubber for insulation against cold temperatures in the sea. Adult males feature thick rolls of flesh on their necks and chests and a concave ‘Roman’ type of nose. Gray seals have long, flat faces with big eyes, and they do not have external ears. Their front flippers are relatively blunt and short, and the hind ones are short and thick. Males are dark gray, black and brown with some lighter blotches, while females are usually light gray with darker blotches. When pups are born they have thick, creamy-white fur, called ‘lanugo’, which molts and is replaced by their adult coat when they are about two to four weeks old."
tokay gecko,gekko gecko,Animalia_Chordata_Vertebrata_Reptilia_Squamata_Gekkonidae_Gekko_Gekko gecko,"Tokay geckos are one of the largest gecko species. Their skin is soft to the touch and is generally gray with red speckles. However, Tokay geckos can change the color of their skin to blend into the environment. They are strong climbers with foot pads that can support the entire weight of the body on a vertical surface for a long period of time. Compared to other gecko species, Tokay geckos have a robust build, with a semi-prehensile tail, a large head, and muscular jaws. Though common in the pet trade, the strong bite of the Tokay makes it ill-suited for inexperienced keepers."
white-nosed coati,nasua narica,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Procyonidae_Nasua_Nasua narica,"The White-nosed coati, also called the coatimundi, is a coati species and member of the Procyonidae family (raccoons and relatives). The most outstanding feature of this animal is perhaps its long, pointed snout. Around its nose, its face has many sensory receptors which give it an extremely good sense of smell. Many muscles here allow great flexibility to the tip of its snout, which it uses to poke into crevices, seeking prey. A coati curls its snout above the water’s surface in an amazing way when drinking."
blue wildebeest,connochaetes taurinus,Animalia_Chordata_Vertebrata_Mammalia_Artiodactyla_Bovidae_Alcelaphinae_Connochaetes_Connochaetes taurinus,"Blue wildebeest is an easily recognized species of antelope with highly located shoulders and horns, resembling these of a cow. This animal resembles a broad and elongated muzzle. Blue wildebeests are known to gather in huge migratory herds. Blue wildebeests are so called due to the silvery-blue sheen of their fur, which actually varies from greyish to brown. The front feet of the animal exhibit black stripes, due to which this animal is nicknamed the 'brindled gnu'. The front part of its face, the mane as well as the long tail display black coloration. Their beards are long and colored in either black or white, depending on subspecies. This species exhibits sexual dimorphism with males, being noticeably bigger than females."
cooper's hawk,accipiter cooperii,Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Accipiter_Accipiter cooperii,"Cooper's hawks are agile medium-sized raptors native to the North American continent. They have hooked bills that are well adapted for tearing the flesh of prey, as is typical of raptorial birds. As adults, they are a solid blue-gray color above and have a well-defined crown made of blackish-brown feathers above a paler nape and hindneck offset against their streaked rufous cheeks. Their tail is blue-gray on top and pale underneath, barred with three black bands. The adult’s underside shows a bit of whitish base color overlaid heavily with coarse, irregular rufous to cinnamon bands. Adult females may average slightly more brownish or grayish above, while some adult males can range into almost a powder blue color. As in many birds of prey, the males in this species are smaller than the females."
tundra swan,cygnus columbianus,Animalia_Chordata_Aves_Anseriformes_Anatidae_Cygnus_Cygnus columbianus,"The Tundra swan is a small swan that lives in Holarctic regions. Its feathers are white, though sometimes its head and neck feathers become slightly red if it is in an area of iron-rich food. It has black legs, feet and beak and close to its eyes there is a distinctive yellow mark. Babies are gray with pink beak, feet and legs. They develop adult plumage within two years."
laughing kookaburra,dacelo novaeguineae,Animalia_Chordata_Aves_Neornithes_Neognathae_Neoaves_Coraciiformes_Alcedini_Alcedinidae_Halcyoninae_Dacelo_Dacelo novaeguineae,The Laughing kookaburra is a large robust kingfisher with a whitish head and a dark eye-stripe. Its upperparts are mostly dark brown but there is a mottled light-blue patch on the wing coverts. The underparts are white and the tail is barred with rufous and black. The plumage of the male and female birds is similar. The territorial call of Laughing kookaburras is a distinctive laugh that is often delivered by several birds at the same time and is widely used as a stock sound effect in situations that involve a jungle setting.
american goldfinch,spinus tristis,Animalia_Chordata_Aves_Passeriformes_Fringillidae_Carduelinae_Spinus_Spinus tristis,"The American goldfinch is a small but one of the most widespread birds in North America. These colorful birds undergo a molt in the spring and autumn. Males are vibrant yellow in the summer and olive color during the winter, while females are dull yellow-brown shade which brightens only slightly during the summer. The autumn plumage is almost identical in both sexes, but males have yellow shoulder patches. In some winter ranges, American goldfinches lose all traces of yellow, becoming a predominantly medium tan-gray color with an olive tinge evident only on close viewing."
eastern fox squirrel,sciurus niger,Animalia_Chordata_Vertebrata_Mammalia_Rodentia_Sciuridae_Sciurus_Sciurus niger,"Endemic to North America, the Eastern fox squirrel is a comparatively large rodent with a long and bushy tail. The scientific name of this species is 'niger' (black), since the first Eastern fox squirrel to be described had black coat. However, overall, the coloration of their fur varies greatly from individual to individual. The Eastern fox squirrel is co called due to the common yellowish-red coloration, closely resembling that of a fox. The Eastern fox squirrels also come in melanistic or entirely black coloration, which is more common in populations in the southern parts of their range. Individuals of both sexes look alike. The winter and summer coats are generally similar, although during the winter months, they exhibit more tufted ears as well as heavily furred foot soles. One of the most unusual facts about this mammal is that it has pink bones, whereas bones on most mammals are white. This is due to accumulating a chemical in its teeth, bones and tissues."
purple martin,progne subis,Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Progne_Progne subis,"The Purple martin is the largest swallow in North America. Despite their name, these birds are not truly purple. Their dark blackish-blue feathers have an iridescent sheen caused by the refraction of incident light giving them a bright blue to navy blue or deep purple appearance. In some light, they may even appear green in color. Adult males are entirely black with glossy steel blue sheen, the only swallow in North America with such coloration. Adult females are dark on top with some steel blue sheen and lighter underparts. Adults have a slightly forked tail."
red-necked wallaby,macropus rufogriseus,Animalia_Chordata_Vertebrata_Mammalia_Marsupialia_Diprotodontia_Macropodidae_Macropus_Notamacropus_Macropus rufogriseus,"The Red-necked wallaby is a medium-sized macropod marsupia, common in the more temperate and fertile parts of eastern Australia, including Tasmania. Its name is due to the reddish fur on its shoulders and nape. The rest of its body is fawny gray, except for its white chest and belly. Its tail is gray on top and white below. Its paws are gray, with black at the ends. Its muzzle is dark brown. The ears of these wallabies are longer than those of others of the kangaroo family."
yellow-billed cuckoo,coccyzus americanus,Animalia_Chordata_Aves_Cuculiformes_Cuculidae_Coccyzus_Coccyzus americanus,"Yellow-billed cuckoos are long-tailed, slender birds that stay well hidden among deciduous woodlands. They usually sit completely still, even hunching up their shoulders to hide their crisp white underparts, while hunting for large caterpillars. On a shaded perch, bold white spots on their tail’s underside often are the most visible feature. Their stuttering, croaking calls, heard over a great distance, often are heard on humid, hot afternoons, and so this bird is often called the ""rain crow,"" as if it is calling for rain."
thirteen-lined ground squirrel,ictidomys tridecemlineatus,Animalia_Chordata_Vertebrata_Mammalia_Rodentia_Sciuridae_Ictidomys_Ictidomys tridecemlineatus,"This small and slender ground squirrel, also known as the ""thirteen liner"" has 13 stripes running along the length of its body. The dark brown stripes are wider than the tan ones and have rectangular tan spots along the middle, and are either seven wider dark brown stripes alternating with tan or seven narrow tan stripes alternating with six dark brown ones. They have short ears and their tail is thin and a little bushy. They often sit erect with their head pointing up. As many as 90% of babies are taken by predators before the start of hibernation. Once reaching adulthood it is probable that they live for just a few years. Squirrels in captivity may live as long as 7.9 years"
deer mouse,peromyscus maniculatus,Animalia_Chordata_Vertebrata_Mammalia_Rodentia_Cricetidae_Reithrodontomyini_Peromyscus_Peromyscus maniculatus,"Endemic to North America, the Deer mouse is one of the most common organisms of the biotic community in nearly all woodlands throughout the continent. However, even the most attentive observers often cannot spot this cryptic animal in its woodland habitat, since it’s generally active at night. The species is so called due to its deer-like coloration: the back is tawny brown, the dorsum is a camouflaging brown, while the underbelly, legs and tail are white."
hooded skunk,mephitis macroura,Animalia_Chordata_Vertebrata_Mammalia_Carnivora_Caniformia_Mephitidae_Mephitis_Mephitis macroura,"Hooded skunks are small mammals known for their ability to spray a liquid with a strong, unpleasant smell. They can be distinguished from the similar striped skunk by their longer tail and longer, much softer coat of fur. A ruff of white fur around their neck gives Hooded skunks their common name. There are three color phases and in all three, a thin white medial stripe is present between the eyes: black-backed with two lateral white stripes, white-backed with one dorsal white stripe, or entirely black with a few white hairs in the tail."
